Date	Time	IP	User	Table	Action	Key field	Field	Old value	New value
Nov 02,2023	03:21:07	189.202.91.200	edgar_gomez	users	login
Nov 02,2023	03:21:12	189.202.91.200	edgar_gomez	registro	edit	1902	texto	----------------------------------------------------------------------------------- • 231101.1500.3 • ¥  • Documentacion Vehicular • Sharah Connor • Cliente Operador • Cliente Operador • http://apps.bcs.gob.mx/pedimento/pedimento.php • RCRD • http://entidades.sesnsp.gob.mx:8046/repuve/login.jsp • Entidades • (u21156)2 • http://www2.repuve.gob.mx:8080/ciudadania/ • RPV • https://dof.gob.mx/indicadores.php#gsc.tab=0 • T.C. • DCVH•0000•231101•P946583     -----------------------------------------------------------------------------------  17M:   P946583                  --     DTS:   1XPBAE7X4RD336583                          --             1994 Peterbilt 375            VIN: 1XPBAE7X4RD336583            Style / Body: Semi-Trailer             Truck 2DEngine: 10.3L I6 DI            Country of Assembly:             United States           --            PERP490210SK5 PASTOR PEREA RAMIREZ          --            LAZARO CARDENAS 339 Col. JARDINES DEL LAGO 21330 BC Mexicali MEXICALI          --            12.961100          --                                                            17-07-2014                                                            17/07/2014                                     Fecha de Desaduanamiento: 18/07/2014          --             1XPBAE7X4RD336583 1994 PETERBILT 375          --             19 3262 4009908            -- 3262 4009908 A1 ZAFF3905138R4 0000000000000 BNP71V0N           1.000         1516            0             0    0            0                      --  STTS:              -- $$$ :                  -- O//O:   •      •      •     •       •      •     •      •      •      •      •      •      •      •      •      • . - .0. - .0. - .0. - .0. - .0. - .0. - .0. - .0. - .0. - .0. - .0. - .0. - .0. - .0. - .0. - .       •      •      •      •      •      •      •      •      •      •      •      •      •      • 	----------------------------------------------------------------------------------- • 231101.1500.3 • ¥  • Documentacion Vehicular • Sharah Connor • Cliente Operador • Cliente Operador • http://apps.bcs.gob.mx/pedimento/pedimento.php • RCRD • http://entidades.sesnsp.gob.mx:8046/repuve/login.jsp • En
Nov 02,2023	03:21:28	189.202.91.200	edgar_gomez	registro	add	1903	texto		----------------------------------------------------------------------------------- • 777777.7777.7 • Documentacion Vehicular • Operador • Cliente Operador • DCVH•0000•000000•0000000     -----------------------------------------------------------------------------------  17M:                     -- 
Nov 02,2023	03:21:28	189.202.91.200	edgar_gomez	registro	add	1903	tipo_de_documento		1
Nov 02,2023	03:22:38	189.202.91.200	edgar_gomez	registro	edit	1893	texto	----------------------------------------------------------------------------------- • 231028.1250.6 • ¥ • Documentacion Vehicular • Entorno & Apariencia • Francisco Gómez Base Dato  • DCVH•0000•231028•0000000     -----------------------------------------------------------------------------------   • Menu Tipo de Documentos   • Boton Ver No Funciona   • Entorno muy Pequeno & Restrigido   • Restriccion de Tamano del Entorno      al Iniciar.   • Control de Fuentes & Tamanos   • Control de Carga de Documentos     Imagenes Con Menus     ---------------------------  • Menu Documentos Nuevo   • Boton Ver No Funciona   • Entorno muy Pequeno   • Restriccion de Tamano del Entorno      al Iniciar.   • Control de Fuentes & Tamanos   • Control de Carga de Documentos     Imagenes Con Menus    • Boton de Imprimir ---------------------------  •  Manipulacion de el Orden de los     Perfiles de trabajo ---------------------------  •  ---------------------------	----------------------------------------------------------------------------------- • 231028.1250.6 • ¥ • Documentacion Vehicular • Entorno & Apariencia • Francisco Gómez Base Dato  • DCVH•0000•231028•0000000     -----------------------------------------------------------------------------------   •
Nov 02,2023	17:47:23	189.202.91.200	edgar_gomez	users	login
Nov 02,2023	19:45:48	189.202.91.200	edgar_gomez	registro	add	1904	texto		----------------------------------------------------------------------------------- • 777777.7777.7 • Regularizacion • Operador • Cliente • Operardor • RGLRZ•0000•000000•0000000 • CURP:                                      https://www.gob.mx/curp/   • RFC:                                        http
Nov 02,2023	19:45:48	189.202.91.200	edgar_gomez	registro	add	1904	tipo_de_documento		5
Nov 02,2023	19:46:04	189.202.91.200	edgar_gomez	registro	add	1905	texto		----------------------------------------------------------------------------------- • 777777.7777.7 • Regularizacion • Operador • Cliente • Operardor • RGLRZ•0000•000000•0000000 • CURP:                                      https://www.gob.mx/curp/   • RFC:                                        http
Nov 02,2023	19:46:04	189.202.91.200	edgar_gomez	registro	add	1905	tipo_de_documento		5
